student_key,student_id,student_name,date_of_birth,grade,contact_number
1,S00001,donna williams,2007-02-10,Grade 3,+17815344258
2,S00002,john stafford,2014-11-26,Grade 5,+17826916291
3,S00003,chad harper,2017-02-07,Grade 3,+13085173750
4,S00004,anthony martin,2014-11-10,Grade 5,+13067711524
5,S00005,mary stone,2016-04-01,Grade 3,+17944848495
6,S00006,joe wells,2017-06-29,Grade 2,+19338645644
7,S00007,margaret nixon,2009-12-04,Grade 4,+17067080421
8,S00008,james wheeler,2011-01-25,Grade 1,+16058180057
9,S00009,benjamin cook,2007-10-04,Grade 4,+14895037511
10,S00010,aaron callahan,2012-02-18,Grade 4,n/a
11,S00011,christopher church,2008-02-23,Grade 1,n/a
12,S00012,jonathan solis,2016-07-07,Grade 1,+15342534789
13,S00013,robert sanders,2008-04-30,Grade 2,+16376421016
14,S00014,melanie gilmore,2006-08-19,Grade 4,+15698428327
15,S00015,alexandria wallace,2006-06-21,Grade 2,+12832596520
16,S00016,ann wilkerson,2007-09-02,Grade 3,+17352700046
17,S00017,kelly delgado,2015-06-28,Grade 2,+19938712154
18,S00018,michael baker,2008-07-21,Grade 1,+12665645904
19,S00019,jennifer adams,2015-01-03,Grade 4,+12096138159
20,S00020,elizabeth lopez,2016-04-21,Grade 3,+14367819737
21,S00021,patricia atkins,2019-01-07,Grade 5,+19084006429
22,S00022,justin wright,2010-06-25,Grade 2,+19759149462
23,S00023,justin sandoval,2016-05-22,Grade 1,+18986795228
24,S00024,kimberly massey,2008-05-05,Grade 3,+18884449025
25,S00025,theresa marsh,2009-04-18,Grade 2,+16766966482
26,S00026,todd noble,2006-05-03,Grade 3,+17303991378
27,S00027,jonathan cline,2009-03-13,Grade 3,+19033367816
28,S00028,diana fitzpatrick,2008-09-12,Grade 5,+14683290737
29,S00029,brandi winters,2007-01-14,Grade 3,+12236286249
30,S00030,vincent harrison,2013-01-26,Grade 3,+17959198159
31,S00031,michael may,2009-01-13,Grade 4,+13756420607
32,S00032,katherine chang,2010-09-03,Grade 4,+14356171689
33,S00033,kenneth levine,2019-01-15,Grade 1,+15295060532
34,S00034,melissa cohen,2016-08-20,Grade 1,+19557374295
35,S00035,pamela lambert,2010-11-06,Grade 2,+15913609003
36,S00036,james stewart,2010-10-03,Grade 3,+14627695212
37,S00037,rebecca barr,2007-04-24,Grade 1,+18193326636
38,S00038,brandi carroll,2018-04-09,Grade 1,+19394503967
39,S00039,jordan jenkins,2018-12-16,Grade 1,+13937091081
40,S00040,frank douglas,2017-08-22,Grade 5,+15614023053
41,S00041,robert walters,2017-03-28,Grade 1,+15747421671
42,S00042,timothy russell,2010-02-03,Grade 3,+17145710022
43,S00043,amanda davis,2008-01-17,Grade 2,n/a
44,S00044,vicki whitaker,2013-10-16,Grade 1,+15428613947
45,S00045,melanie martinez,2011-07-03,Grade 5,+17336066480
46,S00046,michael pennington,2012-03-08,Grade 1,+15579762931
47,S00047,deborah robinson,2012-07-19,Grade 1,+16445218876
48,S00048,jonathon ortiz,2016-06-27,Grade 2,+13838713344
49,S00049,david soto,2015-05-06,Grade 2,+18903443191
50,S00050,alex evans,2006-10-05,Grade 2,+13202020791
51,S00051,jesse hayes,2015-02-16,Grade 5,+14885149535
52,S00052,robert fox,2009-02-16,Grade 4,+18108141294
53,S00053,brian meyer,2010-08-25,Grade 4,+13919731573
54,S00054,thomas morales,2017-09-30,Grade 2,+19015685838
55,S00055,susan miller,2012-07-18,Grade 4,+16272940839
56,S00056,victoria lewis,2006-08-25,Grade 3,n/a
57,S00057,robert foster,2012-07-02,Grade 5,+19737272308
58,S00058,steven donovan,2017-06-06,Grade 5,+13097416530
59,S00059,kiara meadows,2008-02-03,Grade 2,+15268733321
60,S00060,shawn carroll,2007-08-27,Grade 3,+12849976975
61,S00061,kent davenport,2012-08-05,Grade 4,+19748184092
62,S00062,jason clark,2018-07-22,Grade 3,n/a
63,S00063,jason marquez,2016-08-01,Grade 2,+16722077384
